ID,Index,cv,mode,nbr,ndsi,ndvi,rcvmax
1_70_224,0,6063832.5,82,-0.049833182,-2.71E-04,0.02838703,1.023057864
1_70_225,0,6012171.5,82,-0.042401083,-0.008186047,0.03701487,1.021081027
1_70_226,0,5735665.75,82,-0.052376386,-1.49E-04,0.03474407,1.023640129
1_70_227,0,5662810,82,-0.046757128,-0.001007406,0.046392452,1.02799935
1_70_228,0,5236036.75,82,-0.064361855,-0.019660441,0.026670283,1.026115422
1_70_229,0,5236036.75,82,-0.064361855,-0.019660441,0.026670283,1.026115422
1_70_230,0,3419430.25,82,-0.08448493,-0.026040409,0.031689074,0.695926229
1_70_231,0,3320807,82,-0.06005961,-0.02496555,0.042915624,0.678526167
1_70_232,0,3447757.75,82,-0.0730281,-0.032727946,0.035399396,0.704843313
1_70_233,0,3325069.25,82,-0.06463961,-0.022054443,0.038880985,0.666508491
1_70_234,0,3325069.25,82,-0.06463961,-0.022054443,0.038880985,0.666508491
1_70_235,0,3357317.5,82,-0.06781579,-0.0310942,0.03492875,0.6826281
1_70_236,0,3217477.25,82,-0.059027474,-0.03337594,0.025344169,0.648704572
1_70_237,0,3097314.25,82,-0.04026409,-0.028528115,0.051872525,0.627928971
1_70_238,0,3412744.75,82,5.49E-04,-0.034694444,0.03658409,0.643707948
1_70_239,0,3544895.75,82,-0.006190128,-0.030732453,0.05925163,0.680995481
1_70_240,0,3544895.75,82,-0.006190128,-0.030732453,0.05925163,0.680995481
1_70_241,0,4348944,82,0.038305998,-0.003682192,0.057812676,0.727789231
1_70_242,0,4596985.75,82,0.017715357,-0.013474895,0.062986724,0.787008304
1_70_243,0,5855318.5,82,-0.011650569,0.009030398,0.05539592,0.937917367
1_70_244,0,6325741.5,82,-0.050363682,-0.011225568,0.052592453,1.049433482
1_70_245,0,6035771.5,82,-0.039084237,3.84E-04,0.047762107,0.997472345
1_70_246,0,6024031.75,82,-0.033454247,0.010706928,0.06194548,0.985603557
1_70_247,0,6024031.75,82,-0.033454247,0.010706928,0.06194548,0.985603557
1_70_248,0,6051899.5,82,-0.036927227,-0.002040379,0.044230416,1.014680113
1_70_249,0,5930823.75,82,-0.034738734,-0.001252848,0.034437746,0.995293646
1_70_250,0,5704621.75,82,-0.050210733,0.001323436,0.025405692,1.012214963
1_70_251,0,5621122.75,82,-0.04330398,0.001934214,0.044800024,1.016621316
1_70_252,0,5134844,82,-0.053477954,-0.013735783,0.029587746,0.997549563
