system:index,NDVI,NDVI_count,NDVI_disp,confidence,cropland,cultivated_land
838,0.369774938,5,0.006535175,90,176,1
840,0.284851849,12,0.008087218,100,61,2
841,0.473005325,9,0.017218509,100,176,1
843,0.863717496,14,0.187054213,100,24,2
847,0.800249338,11,0.263387263,91,1,2
848,0.615320742,5,0.157558808,94,24,2
849,0.502495289,6,0.008367257,100,176,1
851,0.41089797,4,0.006321089,100,121,1
852,0.44170022,11,0.019988918,100,176,1
853,0.651445508,5,0.085949228,100,4,2
855,0.488237441,5,0.029689625,100,176,1
856,0.417320341,14,0.015591223,92,176,1
857,0.582024336,3,0.035227614,93,176,1
859,0.755435288,11,0.066537739,100,4,2
861,0.236678466,5,3.97E-04,100,61,2
862,0.778540671,17,0.162826935,100,1,2
863,0.5431391,10,0.027532126,100,176,1
865,0.541405618,15,0.046767432,100,176,1
866,0.732114077,3,0.038342908,100,176,1
867,0.517905772,7,0.010047673,90,176,1
872,0.45501101,4,0.063497184,100,24,2
873,0.537766695,3,0.030012089,100,176,1
874,0.826800406,22,0.167330009,100,1,2
876,0.554047227,12,0.018399255,100,176,1
877,0.861655414,6,0.225882403,100,24,2
879,0.563327849,3,0.019715077,94,176,1
881,0.42950651,15,0.024255251,91,176,1
882,0.599481523,15,0.06216327,100,24,2
883,0.681498408,11,0.035287734,95,176,1
884,0.537465274,6,0.038361375,93,176,1
885,0.617288232,10,0.029385042,100,176,1
888,0.6513623,10,0.028378478,100,176,1
889,0.467021525,8,0.028926164,100,61,2
890,0.745056808,6,0.034607937,93,176,1
891,0.821258068,4,0.309898425,100,24,2
894,0.535572708,9,0.005607849,100,176,1
895,0.640581131,11,0.029696382,100,176,1
899,0.401166856,11,0.020914096,100,61,2
900,0.565252542,3,0.020210789,100,176,1
901,0.523006797,16,0.010807077,93,176,1
902,0.507573068,7,0.021388273,100,121,1
905,0.524067342,11,0.022893497,100,176,1
907,0.677053809,5,0.127426004,100,1,2
909,0.610423982,14,0.046097576,100,152,1
910,0.232261017,21,8.50E-04,100,61,2
912,0.769963861,7,0.159560504,100,4,2
917,0.56591785,5,0.044298106,100,24,2
918,0.815192044,7,0.142552532,90,5,2
919,0.379581392,9,0.01110605,100,61,2
921,0.524908602,4,0.045668226,100,176,1
922,0.460609704,5,0.041582612,100,176,1
926,0.718499422,5,0.210900316,100,4,2
927,0.720376313,5,0.201290286,93,24,2
928,0.420488417,5,0.024804152,100,24,2
929,0.302762121,7,0.010042673,93,61,2
930,0.598490179,5,0.077726901,100,176,1
931,0.419654608,4,0.019877325,100,176,1
933,0.621451139,4,0.018826329,100,176,1
935,0.237704515,9,0.003904011,90,61,2
936,0.529282689,7,0.054906027,100,176,1
937,0.694621265,12,0.131416495,100,4,2
939,0.79662019,4,0.129329284,100,24,2
940,0.531965017,3,0.015580473,100,176,1
941,0.717452884,13,0.09136752,100,24,2
944,0.504764855,7,0.008806162,100,1,2
945,0.742762029,12,0.174766895,100,1,2
951,0.445055693,10,0.028430383,93,176,1
953,0.839474499,9,0.0495328,100,36,2
955,0.36536178,17,0.006543174,100,61,2
956,0.473093837,15,0.034753816,91,61,2
958,0.36740911,8,0.024504717,92,176,1
960,0.466115117,12,0.01452257,100,176,1
962,0.811949909,5,0.169935324,100,4,2
963,0.506392121,24,0.027443459,100,24,2
966,0.538265169,8,0.037188215,100,176,1
970,0.802317679,5,0.244749791,100,1,2
971,0.765254438,14,0.200517669,100,24,2
973,0.762358785,10,0.262491296,100,1,2
975,0.733836472,20,0.124133521,100,24,2
977,0.24759753,4,9.82E-04,91,61,2
978,0.527341425,7,0.020164869,100,176,1
979,0.384655595,12,0.0180694,90,176,1
980,0.527305067,3,0.008646756,100,176,1
983,0.735257804,23,0.132442087,94,24,2
984,0.430081785,13,0.039456053,100,24,2
985,0.668903053,16,0.066345973,100,24,2
987,0.503255367,10,0.06499693,100,176,1
988,0.494204134,7,0.038327632,94,176,1
992,0.776437342,11,0.125836933,100,24,2
993,0.575380743,10,0.023997113,93,176,1
994,0.48684144,8,0.016647218,94,176,1
995,0.435514212,6,0.005099339,100,176,1
1000,0.428415626,11,0.009984111,90,152,1
1001,0.67820704,15,0.054296017,100,24,2
1002,0.4190602,16,0.011173606,100,176,1
1003,0.645777702,5,0.108303031,100,1,2
1004,0.695700586,10,0.019085554,91,176,1
1005,0.603793621,8,0.046719464,100,176,1
1007,0.397571534,4,0.038000219,100,61,2
1008,0.717651725,12,0.166438806,100,1,2
1010,0.494229555,2,0.006526603,100,142,1
1011,0.811016381,8,0.211136123,93,2,2
1012,0.489139438,5,0.04235437,100,176,1
1013,0.674203992,7,0.106101432,100,176,1
1015,0.543941855,14,0.022574875,100,176,1
1016,0.708486736,12,0.181534103,100,1,2
1017,0.799990833,5,0.10151201,95,1,2
1019,0.406038702,6,0.038107552,93,176,1
1020,0.505395472,3,0.008046095,100,176,1
1021,0.588724971,3,0.035054154,100,176,1
1022,0.803115845,5,0.097481308,100,24,2
1024,0.495229214,5,0.002861374,100,176,1
1028,0.437526524,13,0.020179574,100,61,2
1029,0.385046005,4,0.014831275,100,152,1
1031,0.566079557,6,0.052984977,100,176,1
1032,0.585734963,10,0.007846845,100,176,1
1033,0.683716893,6,0.186289763,93,4,2
1034,0.821286798,4,0.177845366,90,1,2
1037,0.849485755,7,0.186624113,90,24,2
1038,0.491693467,4,0.003095037,100,176,1
1039,0.426275462,5,0.03173653,100,176,1
1040,0.59223187,10,0.106094406,100,1,2
1042,0.558187366,9,0.055814463,100,176,1
1043,0.522929192,17,0.027900907,100,176,1
1047,0.230375171,9,9.73E-04,100,61,2
1048,0.513368666,4,0.002397523,100,176,1
1049,0.416024566,10,0.031786376,100,176,1
1050,0.797639251,6,0.214694213,94,4,2
1051,0.203680351,11,0.007918493,94,131,1
1052,0.255989373,23,0.002726061,100,61,2
1055,0.544463217,11,0.019548405,100,176,1
1056,0.428229243,4,0.020929693,100,176,1
1058,0.78295058,15,0.190681637,100,24,2
1061,0.502403617,6,0.003748741,100,176,1
1062,0.208746135,4,2.09E-04,100,61,2
1066,0.521226883,10,0.059251801,92,61,2
1068,0.43384552,7,0.018185768,100,24,2
