,N1,N0,NEG,,P1,P0,POS,cv,rcv,ndvi,ndsi
neg2323,55,5414,0.989943317,pos2323,974,854,0.532822757,1.5,2,0.75,1.5
neg2023,64,5405,0.988297678,pos2023,974,854,0.532822757,1.5,0.75,0.75,1.5
neg2123,64,5405,0.988297678,pos2123,974,854,0.532822757,1.5,1,0.75,1.5
neg2223,64,5405,0.988297678,pos2223,974,854,0.532822757,1.5,1.5,0.75,1.5
neg1423,73,5396,0.986652039,pos1423,974,854,0.532822757,1,2.5,0.75,1.5
neg1323,81,5388,0.985189248,pos1323,974,854,0.532822757,1,2,0.75,1.5
neg0423,84,5385,0.984640702,pos0423,974,854,0.532822757,0.75,2.5,0.75,1.5
neg0323,104,5365,0.980983726,pos0323,974,854,0.532822757,0.75,2,0.75,1.5
neg1223,351,5118,0.935820077,pos1223,974,854,0.532822757,1,1.5,0.75,1.5
neg0223,394,5075,0.927957579,pos0223,974,854,0.532822757,0.75,1.5,0.75,1.5
neg1023,695,4774,0.872920095,pos1023,974,854,0.532822757,1,0.75,0.75,1.5
neg1123,695,4774,0.872920095,pos1123,974,854,0.532822757,1,1,0.75,1.5
neg0023,791,4678,0.855366612,pos0023,974,854,0.532822757,0.75,0.75,0.75,1.5
neg0123,791,4678,0.855366612,pos0123,974,854,0.532822757,0.75,1,0.75,1.5
neg4023,6,5463,0.998902907,pos4023,973,855,0.532275711,2.5,0.75,0.75,1.5
neg4123,6,5463,0.998902907,pos4123,973,855,0.532275711,2.5,1,0.75,1.5
neg4223,6,5463,0.998902907,pos4223,973,855,0.532275711,2.5,1.5,0.75,1.5
neg4323,6,5463,0.998902907,pos4323,973,855,0.532275711,2.5,2,0.75,1.5
neg4423,6,5463,0.998902907,pos4423,973,855,0.532275711,2.5,2.5,0.75,1.5
neg3030,30,5439,0.994514536,pos3030,654,1174,0.357768053,2,0.75,1,0.5
neg3130,30,5439,0.994514536,pos3130,654,1174,0.357768053,2,1,1,0.5
