ID,B2,B3,B4,B5,B6,B7,Class,nbr,ndsi,ndvi,Season
2_2_4_156,0.10812649,0.10675915,0.097328134,0.28560328,0.27651292,0.14483386,scrub,0.3270383,-0.4429067,0.49166808,2
2_2_4_157,0.10812649,0.10675915,0.097328134,0.28560328,0.27651292,0.14483386,scrub,0.3270383,-0.4429067,0.49166808,2
2_2_4_158,0.10684792,0.10331961,0.09360011,0.2809039,0.26980442,0.14162165,scrub,0.3296422,-0.4461916,0.5001383,2
2_2_4_159,0.10377429,0.10126133,0.087867826,0.28112367,0.2673926,0.13731684,scrub,0.3436733,-0.45064288,0.52374065,2
2_2_4_160,0.10556086,0.103976205,0.0907597,0.29026282,0.24801816,0.12949388,scrub,0.38300505,-0.40921664,0.52359927,2
2_2_4_161,0.10127807,0.093628585,0.07954191,0.19805157,0.14335905,0.083589956,scrub,0.40640888,-0.20984413,0.42691806,2
2_2_4_162,0.10127807,0.093628585,0.07954191,0.19805157,0.14335905,0.083589956,scrub,0.40640888,-0.20984413,0.42691806,2
2_2_4_163,0.10360809,0.099014625,0.08581119,0.22465801,0.17883001,0.10515095,scrub,0.36235237,-0.28726625,0.4472161,2
2_2_4_164,0.10784356,0.10595442,0.10105616,0.2788863,0.25994924,0.14323868,scrub,0.32134467,-0.42086163,0.4680449,2
2_2_4_165,0.108055755,0.106410936,0.10019073,0.2805992,0.26783776,0.1405509,scrub,0.33253777,-0.43133572,0.47377428,2
2_2_4_166,0.108055755,0.106410936,0.10019073,0.2805992,0.26783776,0.1405509,scrub,0.33253777,-0.43133572,0.47377428,2
2_2_4_167,0.10813498,0.1071142,0.096329555,0.2910007,0.27482066,0.14304201,scrub,0.34088507,-0.43909702,0.50259733,2
2_2_4_168,0.10616001,0.103896566,0.091958,0.27373776,0.26932597,0.14248608,scrub,0.31533918,-0.44324604,0.4970792,2
2_2_4_169,0.10336399,0.10163312,0.08692072,0.2722737,0.2499081,0.1265754,scrub,0.3652968,-0.4217855,0.51602405,2
2_2_4_170,0.10258731,0.10005758,0.083498344,0.27727774,0.2514865,0.12306927,scrub,0.385187,-0.43075374,0.5371182,2
2_2_4_171,0.10258731,0.10005758,0.083498344,0.27727774,0.2514865,0.12306927,scrub,0.385187,-0.43075374,0.5371182,2
2_2_4_172,0.10232103,0.10183284,0.08562874,0.2794192,0.24053782,0.11978506,scrub,0.39988086,-0.40513104,0.53086305,2
2_2_4_173,0.10320865,0.101499975,0.08609967,0.26956406,0.25110054,0.12613158,scrub,0.36248183,-0.42427778,0.51583666,2
2_2_4_174,0.10607125,0.10265388,0.09031589,0.2657837,0.25962532,0.1339298,scrub,0.329871,-0.43328857,0.49274924,2
2_2_4_175,0.1066482,0.10294236,0.092157714,0.26362035,0.2627557,0.13604079,scrub,0.31921932,-0.43700898,0.48193705,2
2_2_4_176,0.1066482,0.10294236,0.092157714,0.26362035,0.2627557,0.13604079,scrub,0.31921932,-0.43700898,0.48193705,2
2_2_4_177,0.10633753,0.10281281,0.09209114,0.2665485,0.2673643,0.13764945,scrub,0.31890082,-0.44452095,0.48644194,2
2_2_4_178,0.1059381,0.103985325,0.09080255,0.27887294,0.26817384,0.13487469,scrub,0.34803402,-0.44117823,0.50874454,2
2_2_4_179,0.1028536,0.101300254,0.08744901,0.28289366,0.24598423,0.1258653,scrub,0.38415882,-0.41661513,0.52774006,2
2_2_4_180,0.102963015,0.103824034,0.08463509,0.31178176,0.24101251,0.11315006,scrub,0.4674437,-0.39783624,0.57299954,2
2_2_4_181,0.100789875,0.09950282,0.081594974,0.2878759,0.23209187,0.11059813,scrub,0.44489163,-0.39985278,0.55831444,2
2_2_4_182,0.100789875,0.09950282,0.081594974,0.2878759,0.23209187,0.11059813,scrub,0.44489163,-0.39985278,0.55831444,2
2_2_4_183,0.1027744,0.10223226,0.08667663,0.28778848,0.25345153,0.12675291,scrub,0.3884668,-0.42515084,0.5370643,2
2_2_4_184,0.10771335,0.10762459,0.096262984,0.30000365,0.2831466,0.14947613,scrub,0.33489275,-0.44916824,0.51415044,2
2_2_4_185,0.10797612,0.10842346,0.09981348,0.29313976,0.2777148,0.1434135,scrub,0.34297365,-0.43842155,0.4919829,2
2_2_4_186,0.10632399,0.10407409,0.095353164,0.2822871,0.26921442,0.13945831,scrub,0.33866113,-0.44239327,0.4950053,2
2_2_4_187,0.10632399,0.10407409,0.095353164,0.2822871,0.26921442,0.13945831,scrub,0.33866113,-0.44239327,0.4950053,2
2_2_4_188,0.1057162,0.1038078,0.09351134,0.28194526,0.27391255,0.14420016,scrub,0.32323495,-0.45034572,0.50187933,2
