system:index,Class,NDVI,NDVI_variance
1_1_10_212,2,0.68404466,0.02711985
1_1_10_213,2,0.59455913,0.017022608
1_1_10_214,2,0.6927743,0.022974871
1_1_10_215,2,0.6996145,0.023729597
1_1_10_216,2,0.66426426,0.028105648
1_1_10_217,2,0.65576863,0.026410582
1_1_10_218,2,0.65576863,0.026410582
1_1_10_219,2,0.6631466,0.018564357
1_1_10_220,2,0.66712105,0.017889431
1_1_10_221,2,0.7491967,0.026714643
1_1_10_222,2,0.7585766,0.029057969
1_1_10_223,2,0.7585766,0.030525341
1_1_10_224,2,0.7684789,0.031475015
1_1_10_225,2,0.7728436,0.031469467
1_1_10_226,2,0.7736951,0.030471945
1_1_10_227,2,0.773762,0.031367309
1_1_10_228,2,0.773762,0.031367309
1_1_10_229,2,0.77351236,0.032441018
1_1_10_230,2,0.77844286,0.032604257
1_1_10_231,2,0.76691604,0.032727835
1_1_10_232,2,0.7814401,0.033413609
1_1_10_233,2,0.7814401,0.033413609
1_1_10_234,2,0.7831709,0.031858205
1_1_10_235,2,0.78542334,0.033583381
1_1_10_236,2,0.7818285,0.03292796
1_1_10_237,2,0.7763803,0.033108945
1_1_10_238,2,0.7763803,0.034638578
1_1_10_239,2,0.7783571,0.036443082
1_1_10_240,2,0.7745444,0.037454856
1_1_10_241,2,0.66542274,0.026399716
1_1_10_242,2,0.5937401,0.01171538
1_1_10_243,2,0.6176815,0.021064793
1_1_10_244,2,0.66990584,0.024788191
1_1_10_245,2,0.7155361,0.027260094
1_1_10_246,2,0.6759094,0.029407148
1_1_10_247,2,0.6674229,0.026351627
1_1_10_248,2,0.6674229,0.026351627
1_1_10_249,2,0.6922418,0.028301614
1_1_10_250,2,0.7066248,0.025956976
1_1_10_251,2,0.68250585,0.018041005
1_1_10_252,2,0.7285746,0.026256086
1_1_10_253,2,0.7285746,0.027080594
1_1_10_254,2,0.7670343,0.031297395
1_1_10_255,2,0.7697485,0.030613712
1_1_10_256,2,0.7683069,0.030611489
1_1_10_257,2,0.77000004,0.031858964
1_1_10_258,2,0.77000004,0.031858964
1_1_10_259,2,0.7672238,0.031181903
1_1_10_260,2,0.773656,0.033295481
1_1_10_261,2,0.76721424,0.03401988
1_1_10_262,2,0.7814806,0.034625827
